waveform	Ch0		Gen	
t0	10/3/2021  19:53:50.428034		10/3/2021  19:53:50.428036	
delta t	5.000000E-6		5.000000E-6	

time[0]	Ch0	time[1]	Gen
10/3/2021  19:53:50.428034	2.700660E+0	10/3/2021  19:53:50.428036	2.225264E+0
10/3/2021  19:53:50.428039	2.740222E+0	10/3/2021  19:53:50.428041	2.263191E+0
10/3/2021  19:53:50.428044	2.775860E+0	10/3/2021  19:53:50.428046	2.298829E+0
10/3/2021  19:53:50.428049	2.809864E+0	10/3/2021  19:53:50.428051	2.331198E+0
10/3/2021  19:53:50.428054	2.839944E+0	10/3/2021  19:53:50.428056	2.361278E+0
10/3/2021  19:53:50.428059	2.868716E+0	10/3/2021  19:53:50.428061	2.388416E+0
10/3/2021  19:53:50.428064	2.894219E+0	10/3/2021  19:53:50.428066	2.412611E+0
10/3/2021  19:53:50.428069	2.915798E+0	10/3/2021  19:53:50.428071	2.434190E+0
10/3/2021  19:53:50.428074	2.935415E+0	10/3/2021  19:53:50.428076	2.451845E+0
10/3/2021  19:53:50.428079	2.952417E+0	10/3/2021  19:53:50.428081	2.468193E+0
10/3/2021  19:53:50.428084	2.965495E+0	10/3/2021  19:53:50.428086	2.480618E+0
10/3/2021  19:53:50.428089	2.975958E+0	10/3/2021  19:53:50.428091	2.490426E+0
10/3/2021  19:53:50.428094	2.982170E+0	10/3/2021  19:53:50.428096	2.497946E+0
10/3/2021  19:53:50.428099	2.987074E+0	10/3/2021  19:53:50.428101	2.501543E+0
10/3/2021  19:53:50.428104	2.990671E+0	10/3/2021  19:53:50.428106	2.503505E+0
10/3/2021  19:53:50.428109	2.988382E+0	10/3/2021  19:53:50.428111	2.502197E+0
10/3/2021  19:53:50.428114	2.985440E+0	10/3/2021  19:53:50.428116	2.497946E+0
10/3/2021  19:53:50.428119	2.978247E+0	10/3/2021  19:53:50.428121	2.490099E+0
10/3/2021  19:53:50.428124	2.968438E+0	10/3/2021  19:53:50.428126	2.481272E+0
10/3/2021  19:53:50.428129	2.955687E+0	10/3/2021  19:53:50.428131	2.467212E+0
10/3/2021  19:53:50.428134	2.939993E+0	10/3/2021  19:53:50.428136	2.451845E+0
10/3/2021  19:53:50.428139	2.922010E+0	10/3/2021  19:53:50.428141	2.432882E+0
10/3/2021  19:53:50.428144	2.900758E+0	10/3/2021  19:53:50.428146	2.411957E+0
10/3/2021  19:53:50.428149	2.875909E+0	10/3/2021  19:53:50.428151	2.387108E+0
10/3/2021  19:53:50.428154	2.849099E+0	10/3/2021  19:53:50.428156	2.361278E+0
10/3/2021  19:53:50.428159	2.818038E+0	10/3/2021  19:53:50.428161	2.331198E+0
10/3/2021  19:53:50.428164	2.785669E+0	10/3/2021  19:53:50.428166	2.297522E+0
10/3/2021  19:53:50.428169	2.751338E+0	10/3/2021  19:53:50.428171	2.263518E+0
10/3/2021  19:53:50.428174	2.713411E+0	10/3/2021  19:53:50.428176	2.225264E+0
10/3/2021  19:53:50.428179	2.671888E+0	10/3/2021  19:53:50.428181	2.185375E+0
10/3/2021  19:53:50.428184	2.628075E+0	10/3/2021  19:53:50.428186	2.141890E+0
10/3/2021  19:53:50.428189	2.582301E+0	10/3/2021  19:53:50.428191	2.097097E+0
10/3/2021  19:53:50.428194	2.533585E+0	10/3/2021  19:53:50.428196	2.048380E+0
10/3/2021  19:53:50.428199	2.482252E+0	10/3/2021  19:53:50.428201	1.997048E+0
10/3/2021  19:53:50.428204	2.428958E+0	10/3/2021  19:53:50.428206	1.945062E+0
10/3/2021  19:53:50.428209	2.373703E+0	10/3/2021  19:53:50.428211	1.890787E+0
10/3/2021  19:53:50.428214	2.315504E+0	10/3/2021  19:53:50.428216	1.833569E+0
10/3/2021  19:53:50.428219	2.254036E+0	10/3/2021  19:53:50.428221	1.773082E+0
10/3/2021  19:53:50.428224	2.191261E+0	10/3/2021  19:53:50.428226	1.711614E+0
10/3/2021  19:53:50.428229	2.127177E+0	10/3/2021  19:53:50.428231	1.647531E+0
10/3/2021  19:53:50.428234	2.058189E+0	10/3/2021  19:53:50.428236	1.582466E+0
10/3/2021  19:53:50.428239	1.990509E+0	10/3/2021  19:53:50.428241	1.513805E+0
